Task_Title,Category,Priority,Actual_Duration
Написать код для бэкенда,Work,High,5.274066855432965
Написать код для бэкенда,Work,High,5.343531181496848
Убраться в комнате,Personal,Low,1.7868586120732237
Подготовить отчет по проекту,Work,High,3.2437598053903853
Изучить основы Python,Education,Medium,2.0167115544404384
Изучить основы Python,Education,Medium,1.7374524561246338
Подготовка к экзамену,Education,High,3.8413530970459044
Сходить в спортзал,Health,Low,1.722048416932048
Написать код для бэкенда,Work,High,4.66811131808398
Убраться в комнате,Personal,Low,1.9633694894856941
Сходить в спортзал,Health,Low,1.9832660112057052
Купить продукты на неделю,Personal,Low,0.5801947594436634
Написать код для бэкенда,Work,High,4.596328881165442
Подготовить отчет по проекту,Work,High,3.105048632716854
Написать код для бэкенда,Work,High,5.236718543334591
Записаться к врачу,Health,Medium,0.23714530562670955
Встреча с клиентом,Work,High,1.1164584588856394
Сходить в спортзал,Health,Low,1.716091602931586
Написать код для бэкенда,Work,High,4.861655125815336
Записаться к врачу,Health,Medium,0.5813260822206113
Изучить основы Python,Education,Medium,1.7390201932753708
Подготовить отчет по проекту,Work,High,3.307996313626198
Прочитать книгу по ИИ,Education,Medium,2.3953145717261286
Прочитать книгу по ИИ,Education,Medium,2.3113828602467628
Встреча с клиентом,Work,High,1.1680205990705468
Подготовить отчет по проекту,Work,High,3.460528706740358
Подготовить отчет по проекту,Work,High,3.366697274227164
Изучить основы Python,Education,Medium,2.2539359561264156
Сходить в спортзал,Health,Low,1.2631172361625422
Встреча с клиентом,Work,High,1.3099453837201944
Купить продукты на неделю,Personal,Low,0.6893285315762352
Изучить основы Python,Education,Medium,1.827967917284635
Сходить в спортзал,Health,Low,1.538508833504856
Встреча с клиентом,Work,High,1.9122004135249158
Встреча с клиентом,Work,High,1.5819107945654238
Встреча с клиентом,Work,High,1.4358650590535262
Подготовить отчет по проекту,Work,High,3.941152223349227
Записаться к врачу,Health,Medium,0.09517867026595472
Прочитать книгу по ИИ,Education,Medium,2.5949852091698515
Записаться к врачу,Health,Medium,0.37923732686418765
Изучить основы Python,Education,Medium,1.9382412124337154
Купить продукты на неделю,Personal,Low,0.5274879214790934
Написать код для бэкенда,Work,High,5.14771917283646
Прочитать книгу по ИИ,Education,Medium,2.9260414906430916
Подготовить отчет по проекту,Work,High,3.3829773044662383
Сходить в спортзал,Health,Low,1.042522862946029
Встреча с клиентом,Work,High,1.236092377339789
Сходить в спортзал,Health,Low,1.29322731771447
Подготовить отчет по проекту,Work,High,3.9133913838350285
Убраться в комнате,Personal,Low,2.0803610891531683
Купить продукты на неделю,Personal,Low,0.5592187282770136
